Change Type,Commit SSH,File Name,From Signature, To Signature
CHANGE,631b4b5567289c7dfae6da37ca33c28cdbd14a17,camunda-spring-boot-starter-example-webapp/src/main/java/org/camunda/bpm/spring/boot/starter/example/webapp/WebappExampleApplication.java,void main(String[]),void main(String[])
ADD,9cad5da4dd519cdf812769431b3037ce4f20bbe8,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,void contextClosed(ContextClosedEvent)
ADD,9cad5da4dd519cdf812769431b3037ce4f20bbe8,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,null,void exitApplicationWhenProcessIsFinished()
REMOVE,9cad5da4dd519cdf812769431b3037ce4f20bbe8,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplication.java,void waitForProcessFinished(),null
REMOVE,9cad5da4dd519cdf812769431b3037ce4f20bbe8,camunda-spring-boot-starter-example-simple/src/test/java/org/camunda/bpm/spring/boot/starter/example/simple/SimpleApplicationTest.java,void contextClosed(ContextClosedEvent),null
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,null,void notify(ContextRefreshedEvent)
ADD,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,null,String getProcessInstanceId()
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,void show(),null
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,void waitForProcessFinished(ProcessInstance),null
REMOVE,e24179d2f1261f6810d82a95b91d590065c1eaa2,camunda-spring-boot-starter-example-simple/src/main/java/org/camunda/bpm/spring/boot/starter/example/simple/Showcase.java,int getExitCode(),null
