Type,Commit SSH,File Name,From Signature, To Signature
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatNegativeDuration()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatZeroDuration()
ADD,10f22819963145482deeed2ff13004b3a21ab5a9,spring-batch-samples/src/test/java/org/springframework/batch/sample/metrics/BatchMetricsTests.java,null,public void testFormatNullDuration()
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/repository/dao/JdbcJobInstanceDao.java,null,public JobInstance getLastJobInstance(String jobName)
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testNullConsumerProperties()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testConsumerPropertiesValidation()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testNullTopicName()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testEmptyTopicName()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testNullPollTimeout()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testNegativePollTimeout()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testZeroPollTimeout()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testEmptyPartitions()
ADD,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,null,public void testKafkaItemReaderCreation()
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,public void testNullConsumerFactory(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,public void testNullTopicsAndTopicPartitions(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,public void testPollTimeoutNegative(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,public void testNullOffsetsProvider(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,public void testOffsetsProviderWithAutoCommitConsumerFactory(),null
REMOVE,b19998a40ad02f368d64816193ae46c63fe1ad30,spring-batch-infrastructure/src/test/java/org/springframework/batch/item/kafka/builder/KafkaItemReaderBuilderTests.java,public void testKafkaItemReaderBuild(),null
ADD,4e7c64a44344a53d49c5e9ecda2aa4f22c467fcf,spring-batch-infrastructure/src/main/java/org/springframework/batch/item/file/builder/FlatFileItemReaderBuilder.java,null,public FlatFileItemReaderBuilder<T> bufferedReaderFactory(BufferedReaderFactory factory)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/repository/dao/JobInstanceDao.java,null,default JobInstance getLastJobInstance(String jobName)
REMOVE,d6ad4e15bbf8c47f7b36cded043f0ff088d6680e,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/football/FootballJobIntegrationTests.java,public void clear(),null
ADD,57c8d70ff3f400b54389337809332eebb14d87a2,spring-batch-core/src/main/java/org/springframework/batch/core/step/item/SimpleChunkProcessor.java,null,private void stopTimer(Timer.Sample sample; StepExecution stepExecution; String metricName; String status; String description)
REMOVE,d6ad4e15bbf8c47f7b36cded043f0ff088d6680e,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/football/FootballJobSkipIntegrationTests.java,public void clear(),null
ADD,62a8f441ab0ab0447cf9e5eabcfd72a106558ef2,spring-batch-core/src/main/java/org/springframework/batch/core/repository/dao/MapStepExecutionDao.java,null,public StepExecution getLastStepExecution(JobInstance jobInstance; String stepName)
ADD,7c1fbede1b53f1f6e00f6dd1dc614d1a99faf09c,spring-batch-core/src/main/java/org/springframework/batch/core/repository/dao/MapJobInstanceDao.java,null,public JobInstance getLastJobInstance(String jobName)
ADD,62a8f441ab0ab0447cf9e5eabcfd72a106558ef2,spring-batch-core/src/main/java/org/springframework/batch/core/repository/dao/StepExecutionDao.java,null,default StepExecution getLastStepExecution(JobInstance jobInstance; String stepName)
REMOVE,797fe1b20a37f3554756d89a43dc2a30e07e2d4b,spring-batch-core-tests/src/test/java/org/springframework/batch/core/test/football/FootballJobIntegrationTests.java,public void clear(),null
