Type,Commit SHA,Java File,Old Function Signature,New Function Signature
METHOD_ADD,cceec5500a5f80d07f7e2fe4cbc4cbc8b2d90ad5,spring-statemachine-core/src/main/java/org/springframework/statemachine/config/EnumStateMachineFactory.java,null,public void setContextEventsEnabled(Boolean contextEvents)
PARAMETER_ADD,cceec5500a5f80d07f7e2fe4cbc4cbc8b2d90ad5,spring-statemachine-core/src/main/java/org/springframework/statemachine/config/EnumStateMachineFactory.java,private static StateMachine<S; E> buildMachine(Map<Object; StateMachine<S; E>> machineMap; Map<S; State<S; E>> stateMap; Collection<StateData<S; E>> stateDatas; Collection<TransitionData<S; E>> transitionsData; BeanFactory beanFactory),private static StateMachine<S; E> buildMachine(Map<Object; StateMachine<S; E>> machineMap; Map<S; State<S; E>> stateMap; Collection<StateData<S; E>> stateDatas; Collection<TransitionData<S; E>> transitionsData; BeanFactory beanFactory; Boolean contextEvents)
METHOD_ADD,2b3db243450f5c211c66140711210fc509959c49,spring-statemachine-core/src/test/java/org/springframework/statemachine/AbstractStateMachineTests.java,null,public void stateChanged(State<TestStates; TestEvents> from; State<TestStates; TestEvents> to)
METHOD_ADD,2b3db243450f5c211c66140711210fc509959c49,spring-statemachine-core/src/test/java/org/springframework/statemachine/AbstractStateMachineTests.java,null,public void stateMachineStarted(StateMachine<TestStates; TestEvents> stateMachine)
METHOD_ADD,2b3db243450f5c211c66140711210fc509959c49,spring-statemachine-core/src/test/java/org/springframework/statemachine/AbstractStateMachineTests.java,null, void reset(int c1; int c2)
METHOD_ADD,e1be34cc9295051b5a5f49e0a82a76c470d7edc9,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractState.java,null,public abstract Collection<State<S; E>> getStates()
METHOD_ADD,60e8f0745aab824da6a77fe1cd0bd7acdfb3e56e,spring-statemachine-core/src/main/java/org/springframework/statemachine/support/DefaultExtendedState.java,null,public T get(Object key; Class<T> type)
PARAMETER_REMOVE,1186ae4a717dc2f2a2bd7b162f307d0500ce9f71,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractPseudoState.java,public State<S; E> entry(E event; StateContext<S; E> context),public State<S; E> entry(StateContext<S; E> context)
METHOD_ADD,1186ae4a717dc2f2a2bd7b162f307d0500ce9f71,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractPseudoState.java,null,public void exit(StateContext<S; E> context)
METHOD_ADD,1186ae4a717dc2f2a2bd7b162f307d0500ce9f71,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractPseudoState.java,null,public void addPseudoStateListener(PseudoStateListener<S; E> listener)
METHOD_ADD,1186ae4a717dc2f2a2bd7b162f307d0500ce9f71,spring-statemachine-core/src/main/java/org/springframework/statemachine/state/AbstractPseudoState.java,null,protected void notifyContext(PseudoStateContext<S; E> context)
METHOD_ADD,45ebce9c64c4608437d381d55a57589518507826,spring-statemachine-samples/showcase/src/test/java/demo/showcase/ShowcaseTests.java,null,public void testCHCA()
METHOD_ADD,45ebce9c64c4608437d381d55a57589518507826,spring-statemachine-samples/showcase/src/test/java/demo/showcase/ShowcaseTests.java,null,public void testII()
METHOD_ADD,90051f398949547393d110ef046a39d79523bcdd,spring-statemachine-core/src/main/java/org/springframework/statemachine/listener/StateMachineListener.java,null, void stateEntered(State<S; E> state)
METHOD_ADD,90051f398949547393d110ef046a39d79523bcdd,spring-statemachine-core/src/main/java/org/springframework/statemachine/listener/StateMachineListener.java,null, void stateExited(State<S; E> state)
METHOD_ADD,6e10433b1b3b881e70108ed7985ddb32cf3b2038,spring-statemachine-core/src/main/java/org/springframework/statemachine/support/AbstractStateMachine.java,null,public void stateChanged(State<S; E> from; State<S; E> to)
METHOD_ADD,6e10433b1b3b881e70108ed7985ddb32cf3b2038,spring-statemachine-core/src/main/java/org/springframework/statemachine/support/AbstractStateMachine.java,null,public void stateEntered(State<S; E> state)
METHOD_ADD,6e10433b1b3b881e70108ed7985ddb32cf3b2038,spring-statemachine-core/src/main/java/org/springframework/statemachine/support/AbstractStateMachine.java,null,public void stateExited(State<S; E> state)
METHOD_ADD,6e10433b1b3b881e70108ed7985ddb32cf3b2038,spring-statemachine-core/src/main/java/org/springframework/statemachine/support/AbstractStateMachine.java,null,public void transition(Transition<S; E> transition)
